Index,Year,STATE,R Rev K Dollar, R Sales MwH,R People,R Price Cents/kWh, C Rev K Dollar, C Sales MwH,C People, C Price Cents/kWh,I Rev K Dollar,I Sales MwH,I People,I Price Cents/kWh,T Rev K Dollar, T Sales MwH,T People,T Price Cents/kWh,Total Rev K Dollar,Total Sales MwH,Total People,Total Price Cents/kWh
0,2023,TN,5041363,41350567,3106778,12.19,4139606,35094425,531644,11.8,1407569,22601013,1013,6.23,0,0,0,0.0,10588538,99046005,3639435,10.69
1,2022,TN,5339495,43603987,3058391,12.25,4293143,35719452,528291,12.02,1491695,22788612,1023,6.55,0,0,0,0.0,11124332,102112051,3587705,10.89
2,2021,TN,4741606,42840442,3016642,11.07,3789845,34863397,519798,10.87,1206803,21917298,1016,5.51,0,0,0,0.0,9738253,99621137,3537456,9.78
3,2020,TN,4420255,41084911,2930482,10.76,3535442,33480189,501589,10.56,1089955,20438788,1015,5.33,0,0,0,0.0,9045652,95003888,3433086,9.52
4,2019,TN,4628861,42573183,2914916,10.87,3850725,36151394,497497,10.65,1198249,21104523,1016,5.68,0,0,0,0.0,9677835,99829100,3413429,9.69
5,2018,TN,4751657,44381957,2882992,10.71,3881859,36930451,491567,10.51,1227684,21598775,1010,5.68,0,0,0,0.0,9861200,102911183,3375569,9.58
6,2017,TN,4213506,39292528,2847696,10.72,3558682,33727208,484324,10.55,1412830,24220149,1167,5.83,0,0,0,0.0,9185018,97239885,3333187,9.45
7,2016,TN,4349574,41773888,2812287,10.41,3612206,35438903,480032,10.19,1337298,23545648,1193,5.68,0,0,0,0.0,9299078,100758439,3293512,9.23
8,2015,TN,4291880,41667411,2783058,10.3,3553029,34981552,476405,10.16,1418464,22983145,1245,6.17,0,0,0,0.0,9263373,99632108,3260708,9.3
9,2014,TN,4392023,42538248,2756932,10.32,3476761,33497350,471794,10.38,1548714,24182470,1271,6.4,100,1162,1,8.57,9417597,100219230,3229998,9.4
10,2013,TN,4083088,40905924,2738547,9.98,3356761,33574605,469382,10.0,1412984,22461702,1191,6.29,208,1782,1,11.68,8853041,96944013,3209121,9.13
11,2012,TN,4015594,39753631,2721099,10.1,2901670,28150141,466513,10.31,2015274,28475956,1957,7.08,197,1744,1,11.28,8932734,96381472,3189570,9.27
12,2011,TN,4298018,43067861,2708113,9.98,2980031,29025334,463992,10.27,2070122,28638453,2017,7.23,203,1681,1,12.07,9348374,100733329,3174123,9.28
13,2010,TN,4172362,45191027,2704054,9.23,2838715,29399025,460404,9.66,1903857,28929637,2027,6.58,205,1848,1,11.09,8915139,103521537,3166486,8.61
